title_review,country,date,avp_badge,review_text
Beautiful and honestly written,Royaume-Uni,10 décembre 2019,Achat vérifié,"

  Michelle Obama has to be one of my favourite people as she is down to earth and inspiring.This is echoed in this book.

"
Perfect,Royaume-Uni,23 janvier 2019,Achat vérifié,"

  Great product and service

"
"Great, truthful and inspiring",Royaume-Uni,12 juillet 2020,Achat vérifié,"

  A must read for anyone , of any race, colour, religion. A story of determination, foresight, but above all else love.

"
Fantastic,Royaume-Uni,23 juillet 2019,Achat vérifié,"

  What an amazing lady, very inspiring and such a down to earth person. Beautiful story. I think Michelle should run for President

"
My first book,Royaume-Uni,22 janvier 2019,Achat vérifié,"

  Its an interesting and encouraging book. I would recommend it to everyone especially those that think they are under privileged.

"
A must read,Royaume-Uni,12 février 2019,Achat vérifié,"

  Very human account. Readable and interesting. Not written as a politician at all but as a black female in America who has made good.

"
Very true.,Royaume-Uni,7 septembre 2019,Achat vérifié,"

  Great honest read

"
Great,Royaume-Uni,1 avril 2020,Achat vérifié,"

  Brought as present, the recipient loved it :)

"
A powerful story,Royaume-Uni,6 janvier 2019,Achat vérifié,"

  Such an important book at a critical time in the world.

"
A heartwarming read,Royaume-Uni,15 avril 2019,Achat vérifié,"

  Such an inspiring life that empower not only women but also everyone to reflect, rethink and look forward to future.

"
Great book,Royaume-Uni,5 décembre 2018,Achat vérifié,"

  Great book fast delivery

"
Pure elegance,Royaume-Uni,29 novembre 2018,Achat vérifié,"

  This book just reflects what I have long believed about the Obamas, such a beautiful, honest and thought provoking reflection.

"
Relevant to me,Royaume-Uni,10 août 2019,Achat vérifié,"

  Such nice story

"
Amazing!,Royaume-Uni,21 janvier 2019,Achat vérifié,"

  Inspirational book by a truly inspiration women. Who is an amazing role model to young women like myself all over the world!

"
A really lovely kook.,Royaume-Uni,29 janvier 2019,Achat vérifié,"

  One of the best books.

"
Amazing,Royaume-Uni,14 février 2019,Achat vérifié,"

  Love 💘love love.Every one needs to read this book.Michelle Obama is a true legend. Best book ever xxx xxx xxx

"
Timely Delivery,Royaume-Uni,11 décembre 2018,Achat vérifié,"

  Good Product

"
Well done to the Former Flotus 🎀,Royaume-Uni,16 décembre 2018,Achat vérifié,"

  Awesome read. Well done to the former Flotus. Good buy!!

"
Beautiful book,Royaume-Uni,15 mai 2019,Achat vérifié,"

  Got it for my mum for Mother's day and she loves it

"
Great read Inspirational Woman,Royaume-Uni,16 janvier 2019,Achat vérifié,"

  Inspirational!!!!

"
Inspirational,Royaume-Uni,10 mai 2019,Achat vérifié,"

  For every woman who needs to be reminded that she is heading in the right direction.Knowledge is power! Live your truth x

"
The book we all need,Royaume-Uni,19 décembre 2018,Achat vérifié,"

  A beacon of hope in a time of fear for so many.A must read for everyone of every political preference.

"
nice,Royaume-Uni,31 décembre 2018,Achat vérifié,"

  Very good and inspiring

"
Inspirational book!,Royaume-Uni,23 août 2020,Achat vérifié,"

  I’m not much of a reader but this book kept me engaged and in awe of what this family achieved!

"
Quick safe delivery,Royaume-Uni,23 décembre 2018,Achat vérifié,"

  Lovely inspiring book.

"
Loved this!,Royaume-Uni,30 janvier 2019,Achat vérifié,"

  Very inspiring to all

"
Good,Royaume-Uni,11 août 2020,Achat vérifié,"

  Excellent

"
Interesting. Candid. Revealing.,Royaume-Uni,12 janvier 2019,Achat vérifié,"

  Still Reading...

"
"Fantastically written, empowering messages!",Royaume-Uni,15 juillet 2019,Achat vérifié,"

  I loved this book so much, Michelle had me laughing, crying and rooting for her, and all women, every step of the way!

"
Magnificent read,Royaume-Uni,24 mai 2020,Achat vérifié,"

  A magnificent read I couldn’t put down. I feel so inspired to do more with my life, by the incredible Michelle Obama.

"
Brilliant,Royaume-Uni,7 décembre 2018,Achat vérifié,"

  This is so well written I couldn't put it down

"
strong wonen,Royaume-Uni,13 janvier 2019,Achat vérifié,"

  I can’t wait to read it and have some Me time 🌸

"
A must,Royaume-Uni,27 janvier 2019,Achat vérifié,"

  Brilliant book intelligent woman

"
Really inspirational read,Royaume-Uni,3 janvier 2019,Achat vérifié,"

  Read this for some great insights into life as the first lady.

"
Great!!!,Royaume-Uni,9 février 2019,Achat vérifié,"

  Wow,not a surprise but, absolutely great and empower!!

"
Inspiring book,Royaume-Uni,7 mars 2020,Achat vérifié,"

  In a book that takes a high moral ground, Michelle describes her amazing life journey as a striver.Inspiring.

"
Just amazing,Royaume-Uni,30 janvier 2019,Achat vérifié,"

  Beautiful book, beautiful story

"
Stain on the cover of the book,Royaume-Uni,12 mai 2020,Achat vérifié,"

  The book arrived with a big stain on the back! This is supposed to be a gift so I’m very disappointed.

"
Looking forward to reading,Royaume-Uni,30 décembre 2018,Achat vérifié,"

  Really pleased with this book

"
Very poor quality. Still waiting for refund,Royaume-Uni,26 janvier 2020,Achat vérifié,"

  Very poor quality. Still waiting for refund!

"
Beautifully Written and Insightful :),Royaume-Uni,26 juin 2020,Achat vérifié,"

  Really engaging book and love the way she writes! Would recommend to anyone if they’re looking for a book you can’t put down :)

"
Fab Book,Royaume-Uni,11 septembre 2019,Achat vérifié,"

  Fab book would recommend

"
Inspirational & a must read,Royaume-Uni,21 mai 2019,Achat vérifié,"

  One of the best books I've read in a long while. Such an inspiration. Highly recommended.

"
LOVE Michelle,Royaume-Uni,11 janvier 2019,Achat vérifié,"

  Love this book.

"
Amazing,Royaume-Uni,7 janvier 2019,Achat vérifié,"

  This book is great for anyone who likes and doesn't like politics

"
Great,Royaume-Uni,19 juin 2019,Achat vérifié,"

  Great

"
Fantastic read,Royaume-Uni,16 octobre 2019,Achat vérifié,"

  Trueful, insightful book . I have so much respect for the Obamas

"
Excellent Read,Royaume-Uni,26 décembre 2018,Achat vérifié,"

  Good book.

"
Good product,Royaume-Uni,4 décembre 2018,Achat vérifié,"

  Good product

"
Yes,Royaume-Uni,7 décembre 2018,Achat vérifié,"

  Good book so far

"
Fantastic seller,Royaume-Uni,15 janvier 2019,Achat vérifié,"

  Goods purchased as described, fast shipping. I recommend this seller and that book.

"
great book,Royaume-Uni,26 février 2019,Achat vérifié,"

  great book by mrs obama. very interestining well written and insightfull.

"
Excellent read.,Royaume-Uni,11 février 2019,Achat vérifié,"

  Thoroughly enjoyable book.

"
Cheaper than the highstreet,Royaume-Uni,24 juin 2019,Achat vérifié,"

  Purchased as a present so cant comment

"
Really  enjoyed  reading this book .  Well thought out and sensitively written  with a human touch.,Royaume-Uni,13 janvier 2019,Achat vérifié,"

  I liked the format and unpretentious style  it felt as if I  was a friend and part of the life

"
Excellent read.,Royaume-Uni,25 janvier 2020,Achat vérifié,"

  Captivating read and so realistic...

"
Awesome,Royaume-Uni,2 janvier 2019,Achat vérifié,"

  Amazing. Recommend getting audio book though as it’s Michelle speaking and telling her story!

"
Brand new book...,Royaume-Uni,13 janvier 2020,Achat vérifié,"

  Beautiful story

"
What an amazing read. Beautifully written and straight from the heart.,Royaume-Uni,24 janvier 2019,Achat vérifié,"

  Please read this book to be inspired to improve the lot of your fellow man and woman whoever they may be.

"
Excellent,Royaume-Uni,15 novembre 2019,Achat vérifié,"

  Present loved  it

"
Great book,Royaume-Uni,13 juin 2019,Achat vérifié,"

  This is a well written book & insightful. Great purchase.

"
Brilliant book but damaged on delivery,Royaume-Uni,5 mars 2019,Achat vérifié,"

  Disappointed to receive a damaged copy.

"
Impressive,Royaume-Uni,2 janvier 2019,Achat vérifié,"

  Good size book

"
Arrived early,Royaume-Uni,29 octobre 2019,Achat vérifié,"

  Arrived quickly. Excellent Christmas present.

"
5*,Royaume-Uni,30 novembre 2020,Achat vérifié,"

  5-8

"
Brilliant,Royaume-Uni,8 janvier 2019,Achat vérifié,"

  My daughter loved it

"
Becoming,Royaume-Uni,8 janvier 2020,Achat vérifié,"

  Thought provoking book, excellent

"
Very Good present,Royaume-Uni,29 novembre 2018,Achat vérifié,"

  Bought as a gift as th3 previous reviews were excellent

"
Great book,Royaume-Uni,25 décembre 2018,Achat vérifié,"

  Really prompt delivery and quality product

"
Great service,Royaume-Uni,4 décembre 2019,Achat vérifié,"

  Fast efficient and good value !

"
Gift,Royaume-Uni,16 décembre 2018,Achat vérifié,"

  Gift

"
Inspiring,Royaume-Uni,30 août 2019,Achat vérifié,"

  Loved Michelle's book. An eye opener into the world of US politics from a humble person.

"
Soulful,Inde,14 décembre 2018,Achat vérifié,"

  Sometimes a book can outdo the thrills of a great film.  Specially when its written as good as Becoming by Michelle Obama.  Many of us live to witness the poll results.  It's a real life thriller.  Michelle gives an minute to minute account from campaigning to becoming the first black president.  In a country so prejudiced towards color,  beating every single odd and to win...it was like reliving those days in front of TV,  all over again.  The best lesson to learn was except for Barack everyone had doubts.  He was so sure of his dream.  It was in a way understanding what his voters wanted and how desperate they were for change.  And most of all his belief.  And like how?!!!  I often see posts of Americans wanting him back.  How often does that happen?  For everyone who loves politics this book is not just a autobiography.  It is beautiful journey of a dream to do good in this world.  Never was the dream to be president.  But to change in small ways for the betterment of society at large.  And the efforts put in by educating himself throughout his life.  Educating himself on policies,  reforms,  and understanding the need of the hour.  The best book I've read not just this year.  At par with A Long Walk To Freedom, Nelson Mandela.Could this family do anything wrong?  It's not luck,  it all boils down to immense research and learning and connecting to one's own belief and dream.

"
Amazing,Royaume-Uni,17 juin 2019,Achat vérifié,"

  This book is amazing . A must read for everyone especially women . Personally I have learned a lot .

"
Easy purchase,Royaume-Uni,14 juillet 2019,Achat vérifié,"

  Great book

"
Love it!,Royaume-Uni,30 décembre 2018,Achat vérifié,"

  Excellent

"
Book,Royaume-Uni,2 décembre 2018,Achat vérifié,"

  Fabulous

"
she loved it,Royaume-Uni,2 février 2019,Achat vérifié,"

  bought for female partner who loved it, got through it quickly

"
Think about it,Royaume-Uni,1 mars 2019,Achat vérifié,"

  Interesting, but only because she is Michelle Obama - difficult to finish

"
👏,Royaume-Uni,7 décembre 2018,Achat vérifié,"

  👍🥂

"
Great book,Royaume-Uni,28 décembre 2018,Achat vérifié,"

  Great

"
good,Royaume-Uni,25 février 2019,Achat vérifié,"

  good

"
Very good read!,Royaume-Uni,5 mai 2020,Achat vérifié,"

  Easy to read. Loved the writing style. Beautiful.

"
Great book!,Royaume-Uni,12 décembre 2018,Achat vérifié,"

  Bought it for my mum for Christmas! Have had a peep and yes! She's going to love it!

"
Excellent service,Royaume-Uni,26 décembre 2018,Achat vérifié,"

  The parcel came on time and as expected.

"
Beware damage occurs in shilling,Royaume-Uni,19 novembre 2020,Achat vérifié,"

  It’s a good book but Amazon come on. This book was shipped in a carboard box and is now damaged

"
Excellent,Canada,18 novembre 2018,Achat vérifié,"

  Michelle, you are the bomb!!!  Your insights should affect us all.  Your optimism a crusade we need to continue.  Thank you for becoming Michelle Obama!!!

"
Excellent holiday reading,Royaume-Uni,7 septembre 2019,Achat vérifié,"

  Excellent read

"
👍,Royaume-Uni,14 décembre 2018,Achat vérifié,"

  👍

"
Loved it!,Royaume-Uni,30 décembre 2018,Achat vérifié,"

  A gift to myself and the perfect book for me while on my 2018 Christmas holidays.

"
Love it,Royaume-Uni,8 août 2019,Achat vérifié,"

  Amazing book really worth a read if you haven’t already!

"
Amazing book...,Royaume-Uni,22 avril 2019,Achat vérifié,"

  Amazing book, love it.

"
A great read!,Royaume-Uni,27 novembre 2018,Achat vérifié,"

  Brilliant book. Delightful, honest and thought provoking.

"
Present,Royaume-Uni,16 novembre 2020,Achat vérifié,"

  This was a present for a friend.

"
Great informative read,Royaume-Uni,1 mars 2020,Achat vérifié,"

  Great read

"
Book Michelle Obama,Royaume-Uni,25 mai 2020,Achat vérifié,"

  Very fast delivery. Book in excellent shape. Thumbs up! Well done and thank you very much!

"
Nothing,Royaume-Uni,7 mai 2019,Achat vérifié,"

  Its a book

"
Inspired,Royaume-Uni,13 décembre 2018,Achat vérifié,"

  Love it what a great roll model

"
Hard copy,Royaume-Uni,26 juin 2019,Achat vérifié,"

  Empowering book

"
Happy customer,Royaume-Uni,15 octobre 2020,Achat vérifié,"

  Bought as a birthday gift for my dear friend. She was absolutely delighted with the book

"
very nice,Royaume-Uni,15 août 2020,Achat vérifié,"

  Beutiful delivery, book is amaizing, thank you

"
Great book,Royaume-Uni,16 octobre 2019,Achat vérifié,"

  Great book

"
Gift,Royaume-Uni,15 janvier 2020,Achat vérifié,"

  Bought as a gift and my friend was very happy. Fast delivery.

"
It’s the best book,Royaume-Uni,28 juillet 2019,Achat vérifié,"

  I love this book

"
Must read,Royaume-Uni,9 octobre 2019,Achat vérifié,"

  Great

"
Best book of the Year 2018,Royaume-Uni,29 décembre 2018,Achat vérifié,"

  The only book that made me finished reading within 3 days!!

"
Page turner difficult to put this book down,Royaume-Uni,28 juin 2019,Achat vérifié,"

  Inspiring and generous a true reflection of Michelle O Bama

"
Good value for a popular book.,Royaume-Uni,14 février 2019,Achat vérifié,"

  My sister loved this book.

"
Great,Royaume-Uni,20 décembre 2018,Achat vérifié,"

  Michelle Obama! No words! Quick delivery

"
Good read,Royaume-Uni,21 janvier 2019,Achat vérifié,"

  Good read.

"
Great read,Royaume-Uni,29 décembre 2018,Achat vérifié,"

  Great price for a great book. Well written.

"
Brilliant book,Royaume-Uni,30 décembre 2019,Achat vérifié,"

  Book brought as a present for an avid reader to enjoy.

"
Enjoyable,Royaume-Uni,1 mai 2019,Achat vérifié,"

  Good read

"
good buy,Royaume-Uni,26 décembre 2018,Achat vérifié,"

  Good discount. Speedy delivery

"
Michelle Obama - Inspirational,Royaume-Uni,1 juillet 2019,Achat vérifié,"

  What an inspirational book, highly recommend everyone to read it.

"
Loved it !!,Royaume-Uni,6 mars 2019,Achat vérifié,"

  I received it in perfect time! I had no problem with the package.

"
Read this when you want to inspire your courage to take on unexpected challenges,Royaume-Uni,6 mars 2019,Achat vérifié,"

  Unputdownable read. Insightful, inspiring and moving.

"
Captivating,Royaume-Uni,6 janvier 2019,Achat vérifié,"

  Such a captivating readWould highly recommend this book

"
Good read,Royaume-Uni,18 août 2019,Achat vérifié,"

  A good read but would have preferred paperback version

"
Must have,Royaume-Uni,4 novembre 2019,Achat vérifié,"

  Book well written

"
Supertoll,Allemagne,10 juillet 2019,Achat vérifié,"

  Das Buch ist der Hammer. Leider kam es stark beschädigt an und es konnte keine Einigung mit dem Lieferanten erzielt werden (keine Antwort erhalten).Das Buch selbst übertrifft die schon hoch angesetzten Erwartungen. Von dieser Autorin jedoch kein Wunder. Lebendig, kurzweilig, nachdenklich und mit dem unvergleichlichen Charme von Michelle Obama.Ein Volltreffer und eine absolute Kauf- und Leseempfehlung.

"
Inspiring and emotional,Royaume-Uni,2 avril 2019,Achat vérifié,"

  An incredible book, Michelle's a wonderful writer

"
Michelle Obama,Royaume-Uni,28 mars 2019,Achat vérifié,"

  Michelle Obama's book ""Becoming"" is a great book.

"
Great read,Royaume-Uni,29 novembre 2018,Achat vérifié,"

  Moving account. She should be POTUS!

"
Original copy,Royaume-Uni,28 décembre 2018,Achat vérifié,"

  Delivery was as Expected, and timely. The book quality is also amazing

"
Value for money,Royaume-Uni,14 décembre 2018,Achat vérifié,"

  Present

"
Not your usual standard,Royaume-Uni,29 mars 2020,Achat vérifié,"

  Paperwork delivered here invoiced to wrong person pricing all wrong

"
Really interesting book,Royaume-Uni,1 janvier 2019,Achat vérifié,"

  Enjoyed reading this

"
Good read,Royaume-Uni,21 septembre 2019,Achat vérifié,"

  Good

"
Great book!,Royaume-Uni,15 août 2019,Achat vérifié,"

  Great for book clubs

"
Love!!!!!!,Royaume-Uni,9 décembre 2020,Achat vérifié,"

  Love, love, love!!!

"
It was amazing,Royaume-Uni,12 mai 2019,Achat vérifié,"

  I like it very much

"
Has a rip in back page,Royaume-Uni,14 mai 2020,Achat vérifié,"

  Arrived on time but when opened sadly has a huge rip in the back page cover.

"
Great,Royaume-Uni,27 décembre 2018,Achat vérifié,"

  Great

"
Reliable and responsive,Royaume-Uni,17 octobre 2019,Achat vérifié,"

  Kind and helpful

"
Being myself and NOT to allow anyone to speak to me out of my dream.,Royaume-Uni,8 janvier 2019,Achat vérifié,"

  I liked everything, very inspirational and encouraging.

"
Great,Royaume-Uni,15 juin 2020,Achat vérifié,"

  Fantastic condition

"
Present,Royaume-Uni,12 décembre 2018,Achat vérifié,"

  It’s a gift

"
Interesting read,Royaume-Uni,8 juin 2019,Achat vérifié,"

  Really interesting and enjoyable read

"
"Lovely book, worth every penny",Royaume-Uni,20 mai 2019,Achat vérifié,"

  Outstanding autobiography

"
Really moving and inspiring,Royaume-Uni,23 février 2019,Achat vérifié,"

  Really moving and inspiring

"
Incredible woman,Royaume-Uni,10 mars 2019,Achat vérifié,"

  Amazing story

"
Good read,Royaume-Uni,28 janvier 2019,Achat vérifié,"

  On time delivery and value for money

"
Good book,Royaume-Uni,19 janvier 2020,Achat vérifié,"

  Really interesting read

"
Delivered,Royaume-Uni,8 mars 2019,Achat vérifié,"

  All received ok, would buy from again

"
loved this book,Royaume-Uni,10 juin 2019,Achat vérifié,"

  great read!

"
Youth,Royaume-Uni,12 janvier 2019,Achat vérifié,"

  Learned a lot from this book as a 20ish Chinese. Thank you Michelle.

"
5*,Royaume-Uni,31 décembre 2018,Achat vérifié,"

  Beautiful insight into her life. Well written

"
Delivered in time,Royaume-Uni,29 janvier 2020,Achat vérifié,"

  Right on time, the book is perfect, no damage. Thank you

"
Really good book!,Royaume-Uni,25 février 2020,Achat vérifié,"

  Brought this for my mum as a gift and she really love it

"
Realistic detail,Royaume-Uni,17 mars 2019,Achat vérifié,"

  Interesting how to cope with life in the public eye.

"
Very entertaining,Royaume-Uni,20 février 2019,Achat vérifié,"

  Bought as a present for my daughter, who loved it. I have now started reading it and cannot put it down

"
Amazing,Royaume-Uni,12 décembre 2018,Achat vérifié,"

  I loved every single word

"
Love!,Royaume-Uni,11 mai 2019,Achat vérifié,"

  Brilliant book, would recommend to anyone!

"
Great book,Royaume-Uni,8 juillet 2020,Achat vérifié,"

  An inspiring story

"
"Great Read, a great page turner",Royaume-Uni,21 janvier 2019,Achat vérifié,"

  Ispiring and kind woman to give hope to Many who have little to believe in, shame she had to give way to such a biggot

"
Fabulous,Royaume-Uni,6 juin 2019,Achat vérifié,"

  I just love Michelle Obama 💕

"
Fascinating,Royaume-Uni,8 janvier 2019,Achat vérifié,"

  Interesting read.

"
Happy with my purchase,Royaume-Uni,17 août 2019,Achat vérifié,"

  I loved the book!!

"
Inspiration,Royaume-Uni,21 août 2019,Achat vérifié,"

  It’s a very recommendable book

"
Inspiring,Royaume-Uni,5 mai 2019,Achat vérifié,"

  Such an interesting and inspiring read.

"
Great book,Royaume-Uni,15 décembre 2018,Achat vérifié,"

  Great book to read and very inspiring

"
brilliant,Royaume-Uni,24 août 2020,Achat vérifié,"

  History, very informative

"
Must read,Royaume-Uni,13 janvier 2020,Achat vérifié,"

  Brilliant!!!

"
So inspiring,Royaume-Uni,17 août 2019,Achat vérifié,"

  So inspiring.

"
Amazing,Royaume-Uni,20 janvier 2019,Achat vérifié,"

  Beautifully written and difficult to put down.

"
Great book!!,Royaume-Uni,7 février 2019,Achat vérifié,"

  Brilliant!

"
Excellent,Royaume-Uni,18 janvier 2019,Achat vérifié,"

  Insightful......... great read

"
Fabulous,Royaume-Uni,22 janvier 2020,Achat vérifié,"

  Fabulous

"
Great,Royaume-Uni,10 juin 2020,Achat vérifié,"

  Lovely book

"
Great read,Royaume-Uni,14 février 2019,Achat vérifié,"

  Love the discount.

"
Great,Royaume-Uni,13 février 2019,Achat vérifié,"

  Bought it as gift.

"
Great book for my fiancee,Royaume-Uni,2 janvier 2019,Achat vérifié,"

  My fiancee absolutely loved this for her xmas gift and said she hasn't put the book down since giving it to her :)

"
Good Read,Royaume-Uni,13 octobre 2020,Achat vérifié,"

  Interesting and well written.

"
Fab listen!,Royaume-Uni,19 janvier 2020,Achat vérifié,"

  Loved this book!!

"
Good book,Royaume-Uni,5 décembre 2018,Achat vérifié,"

  Just what I want

"
Good Book,Royaume-Uni,3 mars 2019,Achat vérifié,"

  Long awaited happy customer

"
One of the best books I've read recently,Royaume-Uni,17 septembre 2020,Achat vérifié,"

  Simply love it!

"
"As long as Michelle Obama is alive,there is hope in the world.",Australie,17 novembre 2018,Achat vérifié,"

  I bought the book on the first day it was published.I never expected it would be Ubputdownloadable as it is. I finished it in 3 days. It is refreshing, honest, well written and wise.

"
Brilliant quality xxx,Royaume-Uni,19 janvier 2019,Achat vérifié,"

  Prompt and intact delivery.

"
Fantastic read,Royaume-Uni,21 octobre 2019,Achat vérifié,"

  Buy the book!

"
"Fantastic book, a must read for every woman, for everybody who feels discouraged",Royaume-Uni,24 mars 2019,Achat vérifié,
A great buy.,Royaume-Uni,15 décembre 2018,Achat vérifié,"

  Lovely book.

"
To sweet not enough salt,Royaume-Uni,11 novembre 2020,Achat vérifié,"

  To sweet not enough salt

"
Becoming... Michelle Obama,Australie,1 avril 2019,Achat vérifié,"

  This was the first autobiography I’ve ever read, so I don’t know how to compare it to others, but I LOVED it. Every single word, on every single page. And that from someone who tends to skim through the boring bits in many books.Living in Australia I saw the Obama’s in the news, of course, but I hadn’t followed them all that closely. I hadn’t felt a need to—after all, they were doing a great job. They were a highly respected first family, doing America proud. I saw the important bits, the bits that Australian media felt worthy of a spot on the evening news, but not a lot more. And although I listened to Barack’s 3 hour speech at the Nelson Mandela centenary celebration, I didn’t know all that much about Michelle even at that stage.But in reading her book, I feel like I’ve come to know her. I learned so much about what a wonderful human being she is ... the hard work and perseverance that got her into Princeton, the long hours she spent as a lawyer trying to prove and better herself, and then, when she’d made it to the top, her constant efforts to make the world a better place ... for her own daughters as well as everyone else’s.There was even one point, towards the end of the book, when I read about how she’d done Carpool Karaoke, and why. So of course I went to YouTube and watched it right away, and it made the whole experience so much more personal... almost like I was right there in the car with her.Anyway, I loved the book, and would highly recommend it to anyone who wants to read about her life, her background, small snippets of what it was like living in the White House, and her hopes for the future. She’s an inspiring woman, and she makes me feel both proud and hopeful.

"
Will make a good read.,Royaume-Uni,22 septembre 2020,Achat vérifié,"

  Book arrived in perfect condition.

"
lovely book,Royaume-Uni,11 mars 2019,Achat vérifié,"

  Good read

"
Five stars,Royaume-Uni,15 mars 2019,Achat vérifié,"

  Incredible book incredible woman

"
What a lady,Royaume-Uni,22 mars 2019,Achat vérifié,"

  Amazing, perfect condition too!

"
perfect,Royaume-Uni,24 décembre 2019,Achat vérifié,"

  perfect

"
Love it,Royaume-Uni,16 juin 2019,Achat vérifié,"

  Love it

"
Amazing!,Royaume-Uni,8 janvier 2019,Achat vérifié,"

  Fantastic book from an inspirational woman

"
Got it quick,Royaume-Uni,29 décembre 2018,Achat vérifié,"

  Perfect

"
Excellent book,Royaume-Uni,11 janvier 2019,Achat vérifié,"

  An excellent read

"
Best book from a First Lady,Royaume-Uni,17 janvier 2019,Achat vérifié,"

  She is honest and its a very good read.  A good book for teenagers to read.

"
Love it!,Royaume-Uni,14 janvier 2019,Achat vérifié,"

  Beautiful book!

"
A book from the Queen of Hearts,Royaume-Uni,26 décembre 2018,Achat vérifié,"

  Bought this for my sister as a Christmas present. She was soo happy I’m glad I got this.

"
well worth the money,Royaume-Uni,21 janvier 2019,Achat vérifié,"

  excellent read

"
A decent read,Royaume-Uni,21 janvier 2019,Achat vérifié,"

  a decent read

"
Good book,Royaume-Uni,5 mars 2020,Achat vérifié,"

  Amazing read

"
.,Royaume-Uni,27 juillet 2020,Achat vérifié,"

  Brilliant book to read.

"
Amazing,Royaume-Uni,22 février 2020,Achat vérifié,"

  Inspiration

"
Absolute Diamond,Royaume-Uni,18 décembre 2018,Achat vérifié,"

  Amazing!!!!!

"
No idea,Royaume-Uni,29 décembre 2018,Achat vérifié,"

  Bought as a Xmas present

"
Really good,Royaume-Uni,12 décembre 2018,Achat vérifié,"

  Amazing

"
Good,Royaume-Uni,31 décembre 2019,Achat vérifié,"

  Good.

"
Great,Royaume-Uni,31 janvier 2019,Achat vérifié,"

  Great

"
Very good book,Royaume-Uni,29 septembre 2020,Achat vérifié,"

  Very good book!

"
Prompt delivery,Royaume-Uni,13 octobre 2019,Achat vérifié,"

  A great read

"
good as new,Royaume-Uni,11 mars 2019,Achat vérifié,"

  good as new

"
A ‘first person’ writing experience to savour,Australie,18 novembre 2018,Achat vérifié,"

  I am left stunned, excited and shocked by the many revelations this book has given me. Most of all though I cherish the obvious truth of the writing and appreciated the thoughts of Michelle behind some of the momentous events of her eight years in the White House. Her writings though start with her early life and the inspirations she sought from her piers and family. Her story is an amazing example of courage and determination to loosen the shackles of her heritage, engage it and drive herself forward to become America’s First Lady. It was interesting as well to learn about her efforts during the Obama years to be a First Lady that used the position to champion causes that to this day resonate with so many. As an international reader outside of the US, I learned a great deal about the nature of politics in the US from the standpoint of someone who lived inside that bubble and was able to extricate herself and her family with dignity and positive future resolve. As a portrait photographer I could but dream of having her as a subject before my camera. I can but dream.

"
Amazing & inspiring,Royaume-Uni,19 décembre 2018,Achat vérifié,"

  My new favourite book!!

"
Excellent,Royaume-Uni,13 février 2020,Achat vérifié,"

  Amazing

"
I LOVE IT,Royaume-Uni,19 janvier 2019,Achat vérifié,"

  I LOVE YOU MICHELLE!!! I LOVE YOUUUU!!! <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 x

"
Must read,Inde,26 novembre 2018,Achat vérifié,"

  OMG, every one who wants motivation , should read this book. Beautiful words, simple to understand but leaves a huge impact . What a lady!!! Salute!!!

"
Girlfriend loved it,Royaume-Uni,7 mars 2019,Achat vérifié,"

  Well, the title says it all. :)

"
Empowering!!,Inde,13 février 2019,Achat vérifié,"

  Empowering!!Autobiography of Former First lady Michelle Obama will given you an insight about any other women who is equally competent  of balancing each and every aspect of her life.This book is not just her biography but it's also about her parents, Barack Obama and her daughters.Book is chronological divided into 3 parts.1. Becoming Me2. Becoming Us3. Becoming Morein which she shared everything from her childhood, her upbringing in Princeton,about  her marriage with Barack Obama, she being First lady and living in White House and the life after that.She has also shared  many difficult decisions like martial counselling, leaving her high salary job and IVF.Book is very inspiring and is written beautifully. Language of the book is very easy.I find her very intelligent,honest expressive,humble and passionate women who really wants to add some value to society and to others life.With optimistic attitude and her experiences she shaped herself into a very positive and inspiring person.She has proved that you can always win over your fears and self doubts.Her love story with Barack Obama is same as I had expected, full of love,confidence and respect.I loved it!!When are you reading this one?

"
Loved this book,États-Unis,14 novembre 2018,Achat vérifié,"

  Inspirational and powerful. I loved this book.

"
Good book,Inde,23 juillet 2019,Achat vérifié,"

  I can see why it became bestseller for last year.Pros:It's nicely written.Brings out challenges in the life of former first lady.Cons:At places, the book sounded more like rant, where the lady is complaining just about everything.While her struggles were very much real, complaining that her husband wasn't doing enough (he was in the middle of presidency battle) for her family, isnt what I liked reading. Remember, Obama inherited the economy at its worst, when no one alive knew anything like that.Overall a good book.Could have been great though.

"
An uplifting and meaningful memoir with an important message,Canada,1 janvier 2019,Achat vérifié,"

  Michelle Obama’s memoir reminds us to look for the sameness in each other, to remain positive and act with dignity in the face of all challenges, and to find ways to uplift and inspire youth so our next generation can succeed in the face of many obstacles.  Peppered throughout the book are real life examples of why diversity is so important for a forward-thinking nation.This is an enjoyable memoir by a self-driven, brilliant mind; a self-possessed woman who managed to find ways to maintain her own identity and purpose while serving in the role of FLOTUS during her husband’s presidency.I particularly enjoyed the personal glimpses into the Obama's family life and how Michelle and Barack worked to ensure their daughters could find some semblance of normalcy while coming of age in the Whitehouse.A thoroughly enjoyable read!

"
Reviewing Becoming,Canada,20 novembre 2018,Achat vérifié,"

  I gave it 5 stars because I could hear Michelle Obama's voice in every word I read. I was truly her words and her feelings that were put together to make a beautiful read. It brought out my own feelings and I wanted to fight with her even though I already knew what the outcome was to be. It is a book I will certainly keep in my library and read again.

"
